,industry,job_title,description,job_link,job_id,most_advantage,Empl_type,company,city,mex
378,Internet,Office Administrator,What is the scope of the work? Be the single point of contact for all the general requirements for smooth functioning of the company. Connect with all the organizations providing ancillary services to Zoomo and coordinate with them to extract their services to the fullest. Your responsibilities will include: Taking care of the general office problems and comfort of the employees – ensuring proper...,https://www.linkedin.com/jobs?viewJob=&jobId=47185943&trk=api*a130653*s139051*,1378,creativity,part time,MetConnect,cairo,Office Administrator What is the scope of the work? Be the single point of contact for all the general requirements for smooth functioning of the company. Connect with all the organizations providing ancillary services to Zoomo and coordinate with them to extract their services to the fullest. Your responsibilities will include: Taking care of the general office problems and comfort of the employees – ensuring proper... creativity part time MetConnect cairo
379,Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*,1379,ease of work,full time,Kiddily,aswan,"Software Engineer Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m... ease of work full time Kiddily aswan"
380,Retail,Communications Officer,1. He or she will plan as well as create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product   5. Incharge of overall communications strategy of the com...,https://www.linkedin.com/jobs?viewJob=&jobId=44916021&trk=api*a130653*s139051*,1380,creativity,full time,SiteDept,cairo,Communications Officer 1. He or she will plan as well as create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product   5. Incharge of overall communications strategy of the com... creativity full time SiteDept cairo
381,Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,https://www.linkedin.com/jobs?viewJob=&jobId=44257916&trk=api*a130653*s139051*,1381,fair remuneration,full time,Legal Right,cairo,Sales and Application Engineer - Workholding Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P... fair remuneration full time Legal Right cairo
382,Internet,Office Administrator,What is the scope of the work? Be the single point of contact for all the general requirements for smooth functioning of the company. Connect with all the organizations providing ancillary services to Zoomo and coordinate with them to extract their services to the fullest. Your responsibilities will include: Taking care of the general office problems and comfort of the employees – ensuring proper...,https://www.linkedin.com/jobs?viewJob=&jobId=47185943&trk=api*a130653*s139051*,1382,smoothness,part time,Crowdstage,alexandria,Office Administrator What is the scope of the work? Be the single point of contact for all the general requirements for smooth functioning of the company. Connect with all the organizations providing ancillary services to Zoomo and coordinate with them to extract their services to the fullest. Your responsibilities will include: Taking care of the general office problems and comfort of the employees – ensuring proper... smoothness part time Crowdstage alexandria
383,Computer Software,Software Engineer - Java,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented global software team that works on mission-critical applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. This role...",https://www.linkedin.com/jobs?viewJob=&jobId=46381950&trk=api*a130653*s139051*,1383,ease of work,full time,Crowdstage,cairo,"Software Engineer - Java We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented global software team that works on mission-critical applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. This role... ease of work full time Crowdstage cairo"
384,Internet,Infrastructure Engineer," Develop and maintain the build infrastructure. Setup and automate development, testing, staging, and production systems for new services. Plan and automate software deployments and service upgrades Develop systems and software to monitor and report service information. Investigate and recommend PAAS and IAAS solutions. Take care of VPN and audit access to production servers....",https://www.linkedin.com/jobs?viewJob=&jobId=47110054&trk=api*a130653*s139051*,1384,ease of work,full time,Hiphonic,alexandria,"Infrastructure Engineer  Develop and maintain the build infrastructure. Setup and automate development, testing, staging, and production systems for new services. Plan and automate software deployments and service upgrades Develop systems and software to monitor and report service information. Investigate and recommend PAAS and IAAS solutions. Take care of VPN and audit access to production servers.... ease of work full time Hiphonic alexandria"
385,Computer Software,Software Engineer - Java,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented global software team that works on mission-critical applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. This role...",https://www.linkedin.com/jobs?viewJob=&jobId=46381950&trk=api*a130653*s139051*,1385,employee first,full time,Nutrition,aswan,"Software Engineer - Java We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented global software team that works on mission-critical applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. This role... employee first full time Nutrition aswan"
386,Internet,Infrastructure Engineer," Develop and maintain the build infrastructure. Setup and automate development, testing, staging, and production systems for new services. Plan and automate software deployments and service upgrades Develop systems and software to monitor and report service information. Investigate and recommend PAAS and IAAS solutions. Take care of VPN and audit access to production servers....",https://www.linkedin.com/jobs?viewJob=&jobId=47110054&trk=api*a130653*s139051*,1386,creativity,full time,Nutrition,alexandria,"Infrastructure Engineer  Develop and maintain the build infrastructure. Setup and automate development, testing, staging, and production systems for new services. Plan and automate software deployments and service upgrades Develop systems and software to monitor and report service information. Investigate and recommend PAAS and IAAS solutions. Take care of VPN and audit access to production servers.... creativity full time Nutrition alexandria"
387,Internet,Software Developer,"As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source...",https://www.linkedin.com/jobs?viewJob=&jobId=46397335&trk=api*a130653*s139051*,1387,ease of work,full time,Crowdstage,alexandria,"Software Developer As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source... ease of work full time Crowdstage alexandria"
388,Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*,1388,employee first,part time,Dwellsmith,suez,"DSP Engineer Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m... employee first part time Dwellsmith suez"
389,Online Media,Content Writer,"We are looking for a creative writer to join our digital marketing team. You'll be required to brainstorm with the team and bring content ideas to the table. You'll be writing for our social media marketing initiatives, online campaigns and ads, blog posts and articles, marketing collateral, scripts, web pages and infographics. Our ideal writer has about a year or two of experience and is looking...",https://www.linkedin.com/jobs?viewJob=&jobId=47177428&trk=api*a130653*s139051*,1389,ease of work,full time,Branding,suez,"Content Writer We are looking for a creative writer to join our digital marketing team. You'll be required to brainstorm with the team and bring content ideas to the table. You'll be writing for our social media marketing initiatives, online campaigns and ads, blog posts and articles, marketing collateral, scripts, web pages and infographics. Our ideal writer has about a year or two of experience and is looking... ease of work full time Branding suez"
390,Internet,Software Developer,"As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source...",https://www.linkedin.com/jobs?viewJob=&jobId=46397335&trk=api*a130653*s139051*,1390,smoothness,full time,Jumpsync,aswan,"Software Developer As Software Developer you will Write backend services that power our listings , internal dashboards and platform. Our services are built on erlang,python and clojure. Write angularjs/react frontend js to interact with the backend. Write a clean, fast and maintainable code using functional paradigms. Research on latest trends in software and adapt them for business needs. Contribute to open source... smoothness full time Jumpsync aswan"
391,Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*,1391,ease of work,full time,GameEight,suez,"DSP Engineer Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m... ease of work full time GameEight suez"
392,Online Media,Content Writer,"We are looking for a creative writer to join our digital marketing team. You'll be required to brainstorm with the team and bring content ideas to the table. You'll be writing for our social media marketing initiatives, online campaigns and ads, blog posts and articles, marketing collateral, scripts, web pages and infographics. Our ideal writer has about a year or two of experience and is looking...",https://www.linkedin.com/jobs?viewJob=&jobId=47177428&trk=api*a130653*s139051*,1392,ease of work,full time,Excursy,al mansoura,"Content Writer We are looking for a creative writer to join our digital marketing team. You'll be required to brainstorm with the team and bring content ideas to the table. You'll be writing for our social media marketing initiatives, online campaigns and ads, blog posts and articles, marketing collateral, scripts, web pages and infographics. Our ideal writer has about a year or two of experience and is looking... ease of work full time Excursy al mansoura"
393,Internet,UI / UX Designer,"The position of UI/UX Designer at Xelpmoc is ideal for designers who aspire to become experts in web and mobile app design. It offers the opportunity to gain critical skills and experience by working simultaneously on a range of interesting and important projects. The successful candidate will benefit from top notch mentorship from our experienced staff, as well as our network of external experts....",https://www.linkedin.com/jobs?viewJob=&jobId=60345039&trk=api*a130653*s139051*,1393,employee first,full time,Dwellsmith,al mansoura,"UI / UX Designer The position of UI/UX Designer at Xelpmoc is ideal for designers who aspire to become experts in web and mobile app design. It offers the opportunity to gain critical skills and experience by working simultaneously on a range of interesting and important projects. The successful candidate will benefit from top notch mentorship from our experienced staff, as well as our network of external experts.... employee first full time Dwellsmith al mansoura"
394,Consumer Electronics,Firmware Engineer,"Design &amp; develop firmware for 32-bit ARM Microcontrollers, 8-bit &amp; 16-bit Microcontrollers &amp; 32-Bit ARM Microprocessors Develop using Embedded C, RTOS and/or Linux OS environment Develop drivers for peripherals such as UART, SPI, I2C, USB Integrate low-power Wireless interfaces such as BLE, Zigbee, 6LoWPAN Develop firmware to interact with Hardware such as ADC, PWM, Timers Integrate co...",https://www.linkedin.com/jobs?viewJob=&jobId=60876382&trk=api*a130653*s139051*,1394,fair remuneration,full time,SiteDept,cairo,"Firmware Engineer Design &amp; develop firmware for 32-bit ARM Microcontrollers, 8-bit &amp; 16-bit Microcontrollers &amp; 32-Bit ARM Microprocessors Develop using Embedded C, RTOS and/or Linux OS environment Develop drivers for peripherals such as UART, SPI, I2C, USB Integrate low-power Wireless interfaces such as BLE, Zigbee, 6LoWPAN Develop firmware to interact with Hardware such as ADC, PWM, Timers Integrate co... fair remuneration full time SiteDept cairo"
395,Internet,Android / iOS Developer at 200+ companies,"Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m...",https://www.linkedin.com/jobs?viewJob=&jobId=46302491&trk=api*a130653*s139051*,1395,employee first,full time,Deductly,alexandria,"Android / iOS Developer at 200+ companies Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m... employee first full time Deductly alexandria"
396,Marketing and Advertising,Content Development & Digital Marketing  - Lifestyle Vertical,"Create, develop and manage content for client’s web and presence on Popular Social Platforms Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all on...",https://www.linkedin.com/jobs?viewJob=&jobId=44916773&trk=api*a130653*s139051*,1396,routine,full time,SiteDept,aswan,"Content Development & Digital Marketing  - Lifestyle Vertical Create, develop and manage content for client’s web and presence on Popular Social Platforms Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all on... routine full time SiteDept aswan"
397,Internet,UI / UX Designer,"The position of UI/UX Designer at Xelpmoc is ideal for designers who aspire to become experts in web and mobile app design. It offers the opportunity to gain critical skills and experience by working simultaneously on a range of interesting and important projects. The successful candidate will benefit from top notch mentorship from our experienced staff, as well as our network of external experts....",https://www.linkedin.com/jobs?viewJob=&jobId=60345039&trk=api*a130653*s139051*,1397,employee first,full time,Tourish,cairo,"UI / UX Designer The position of UI/UX Designer at Xelpmoc is ideal for designers who aspire to become experts in web and mobile app design. It offers the opportunity to gain critical skills and experience by working simultaneously on a range of interesting and important projects. The successful candidate will benefit from top notch mentorship from our experienced staff, as well as our network of external experts.... employee first full time Tourish cairo"
398,Consumer Electronics,Firmware Engineer,"Design &amp; develop firmware for 32-bit ARM Microcontrollers, 8-bit &amp; 16-bit Microcontrollers &amp; 32-Bit ARM Microprocessors Develop using Embedded C, RTOS and/or Linux OS environment Develop drivers for peripherals such as UART, SPI, I2C, USB Integrate low-power Wireless interfaces such as BLE, Zigbee, 6LoWPAN Develop firmware to interact with Hardware such as ADC, PWM, Timers Integrate co...",https://www.linkedin.com/jobs?viewJob=&jobId=60876382&trk=api*a130653*s139051*,1398,creativity,full time,Deductly,suez,"Firmware Engineer Design &amp; develop firmware for 32-bit ARM Microcontrollers, 8-bit &amp; 16-bit Microcontrollers &amp; 32-Bit ARM Microprocessors Develop using Embedded C, RTOS and/or Linux OS environment Develop drivers for peripherals such as UART, SPI, I2C, USB Integrate low-power Wireless interfaces such as BLE, Zigbee, 6LoWPAN Develop firmware to interact with Hardware such as ADC, PWM, Timers Integrate co... creativity full time Deductly suez"
399,Internet,Android / iOS Developer at 200+ companies,"Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m...",https://www.linkedin.com/jobs?viewJob=&jobId=46302491&trk=api*a130653*s139051*,1399,fair remuneration,full time,Tourish,cairo,"Android / iOS Developer at 200+ companies Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m... fair remuneration full time Tourish cairo"
400,Marketing and Advertising,Content Development & Digital Marketing  - Lifestyle Vertical,"Create, develop and manage content for client’s web and presence on Popular Social Platforms Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all on...",https://www.linkedin.com/jobs?viewJob=&jobId=44916773&trk=api*a130653*s139051*,1400,creativity,part time,Nutrition,suez,"Content Development & Digital Marketing  - Lifestyle Vertical Create, develop and manage content for client’s web and presence on Popular Social Platforms Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all on... creativity part time Nutrition suez"
401,Computer Software,Software Engineer,2-4 years of Java proficiency. Sound programming knowledge using Core Java  Good understanding of data structures and algorithms. BS/BE in CS or related engineering or equivalent field....,https://www.linkedin.com/jobs?viewJob=&jobId=46301399&trk=api*a130653*s139051*,1401,routine,full time,Jumpsync,cairo,Software Engineer 2-4 years of Java proficiency. Sound programming knowledge using Core Java  Good understanding of data structures and algorithms. BS/BE in CS or related engineering or equivalent field.... routine full time Jumpsync cairo
402,"Information Technology and Services, Graphic Design",Javascript Developer,"Roles and Responsibilities ====================== - Should interface with client to understand the requirements and support needs  - Should be able to analyze requirements swiftly, and offer effective and timely solutions - Should coordinate with team members to track requirements to closure - Should be open to work against tight deadlines - Should have good written and oral communication skills -...",https://www.linkedin.com/jobs?viewJob=&jobId=44990901&trk=api*a130653*s139051*,1402,employee first,full time,SalePush,cairo,"Javascript Developer Roles and Responsibilities ====================== - Should interface with client to understand the requirements and support needs  - Should be able to analyze requirements swiftly, and offer effective and timely solutions - Should coordinate with team members to track requirements to closure - Should be open to work against tight deadlines - Should have good written and oral communication skills -... employee first full time SalePush cairo"
403,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1403,creativity,part time,Digimail,suez,"Full Stack Engineer Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q... creativity part time Digimail suez"
404,Computer Software,Software Engineer,2-4 years of Java proficiency. Sound programming knowledge using Core Java  Good understanding of data structures and algorithms. BS/BE in CS or related engineering or equivalent field....,https://www.linkedin.com/jobs?viewJob=&jobId=46301399&trk=api*a130653*s139051*,1404,fair remuneration,full time,SecureSmarter,al mansoura,Software Engineer 2-4 years of Java proficiency. Sound programming knowledge using Core Java  Good understanding of data structures and algorithms. BS/BE in CS or related engineering or equivalent field.... fair remuneration full time SecureSmarter al mansoura
405,"Information Technology and Services, Graphic Design",Javascript Developer,"Roles and Responsibilities ====================== - Should interface with client to understand the requirements and support needs  - Should be able to analyze requirements swiftly, and offer effective and timely solutions - Should coordinate with team members to track requirements to closure - Should be open to work against tight deadlines - Should have good written and oral communication skills -...",https://www.linkedin.com/jobs?viewJob=&jobId=44990901&trk=api*a130653*s139051*,1405,employee first,full time,Medicine,alexandria,"Javascript Developer Roles and Responsibilities ====================== - Should interface with client to understand the requirements and support needs  - Should be able to analyze requirements swiftly, and offer effective and timely solutions - Should coordinate with team members to track requirements to closure - Should be open to work against tight deadlines - Should have good written and oral communication skills -... employee first full time Medicine alexandria"
406,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1406,smoothness,full time,Tourish,aswan,"Full Stack Engineer Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q... smoothness full time Tourish aswan"
407,Online Media,"Graphics Designer (Web, Print and Online Media)","Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates...",https://www.linkedin.com/jobs?viewJob=&jobId=44220579&trk=api*a130653*s139051*,1407,creativity,full time,Metricsilo,suez,"Graphics Designer (Web, Print and Online Media) Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates... creativity full time Metricsilo suez"
408,Online Media,"Graphics Designer (Web, Print and Online Media)","Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates...",https://www.linkedin.com/jobs?viewJob=&jobId=44220579&trk=api*a130653*s139051*,1408,routine,full time,Jumpsync,alexandria,"Graphics Designer (Web, Print and Online Media) Responsibility: As a Graphic Designer at KNOLSKAPE, you will have two primary responsibilities: Responsible for the visual aesthetic of our products - which would mean you will own the visual design of User Interfaces with sufficient direction from the User Experience Designers Responsible for designing marketing material (including brochures, catalogs and imagery for email marketing, certificates... routine full time Jumpsync alexandria"
409,Management Consulting,Assistant and Associate consultants,"Both positions are general management in nature. The role involves working in all types of projects Browne &amp; Mohan consultants undertake, either long term business change projects or short-term assignments such as productivity, quality or branding projects. While business management degree with specialization in Operations, Finance or Marketing is a must, we are open to people with engineering...",https://www.linkedin.com/jobs?viewJob=&jobId=47169281&trk=api*a130653*s139051*,1409,ease of work,part time,Excursy,suez,"Assistant and Associate consultants Both positions are general management in nature. The role involves working in all types of projects Browne &amp; Mohan consultants undertake, either long term business change projects or short-term assignments such as productivity, quality or branding projects. While business management degree with specialization in Operations, Finance or Marketing is a must, we are open to people with engineering... ease of work part time Excursy suez"
410,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1410,smoothness,full time,Crowdstage,alexandria,"SEO Hacker DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education... smoothness full time Crowdstage alexandria"
411,Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,https://www.linkedin.com/jobs?viewJob=&jobId=59606655&trk=api*a130653*s139051*,1411,routine,full time,Excursy,suez,SAP BASIS ENGINEER - IMMEDIATE JOINING SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job.... routine full time Excursy suez
412,Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*,1412,ease of work,full time,InvestSpend,al mansoura,"Visual Designer Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin... ease of work full time InvestSpend al mansoura"
413,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1413,smoothness,full time,Jumpsync,alexandria,"SEO Hacker DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education... smoothness full time Jumpsync alexandria"
414,Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,https://www.linkedin.com/jobs?viewJob=&jobId=59606655&trk=api*a130653*s139051*,1414,ease of work,full time,VisionSwipe,cairo,SAP BASIS ENGINEER - IMMEDIATE JOINING SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job.... ease of work full time VisionSwipe cairo
415,Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*,1415,creativity,full time,Crowdstage,alexandria,"Visual Designer Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin... creativity full time Crowdstage alexandria"
416,Semiconductors,Virtual Prototype (SystemC) developer,"We are hiring candidates with 1-6 years' experience in System Modelling/Virtual Prototyping. The role is SystemC/TLM2.0 modelling for IPs such as UFS, DDR, etc Below are the details of  the position: Designation : Software Engineer/Team Leader Experience :  1-6 years’ of solid experience in  System Modelling (SystemC, C++, TLM) Qualification : B.E/B.Tech/M.Tech/M.S in VLSI, Computer Science, Elect...",https://www.linkedin.com/jobs?viewJob=&jobId=38693129&trk=api*a130653*s139051*,1416,ease of work,full time,Seekingon,aswan,"Virtual Prototype (SystemC) developer We are hiring candidates with 1-6 years' experience in System Modelling/Virtual Prototyping. The role is SystemC/TLM2.0 modelling for IPs such as UFS, DDR, etc Below are the details of  the position: Designation : Software Engineer/Team Leader Experience :  1-6 years’ of solid experience in  System Modelling (SystemC, C++, TLM) Qualification : B.E/B.Tech/M.Tech/M.S in VLSI, Computer Science, Elect... ease of work full time Seekingon aswan"
